,ace,winner,double_fault,unf_err,break_pt_won,break_pt_missed,net_pt,net_pt_won,win1_mean,win2_mean
0,0,0,0,-1,0,0,0,0,,
1,0,0,0,0,0,0,0,0,,
2,0,0,0,-1,0,0,0,0,,
3,0,1,0,0,0,0,-1,0,,
4,1,1,0,0,0,0,0,0,,
5,0,0,0,0,0,0,0,0,0.6,0.4
6,1,1,0,0,0,0,0,0,0.6,0.4
7,0,-1,0,0,0,0,-1,-1,0.6,0.4
8,0,0,0,0,0,0,1,1,0.6,0.4
9,0,0,0,0,0,0,0,0,0.6,0.4
10,-1,-1,0,0,0,0,0,0,0.6,0.4
11,0,0,0,0,0,0,0,0,0.6,0.4
12,0,0,0,1,0,0,0,0,0.8,0.2
13,0,-1,0,0,0,0,0,0,0.6,0.4
14,0,0,0,0,0,0,0,0,0.4,0.6
15,0,0,0,0,0,0,0,0,0.6,0.4
16,0,0,0,0,0,0,0,0,0.4,0.6
17,0,-1,0,0,0,0,-1,-1,0.2,0.8
18,1,1,0,0,0,0,0,0,0.4,0.6
19,0,0,0,0,0,0,0,0,0.6,0.4
20,0,0,0,0,0,0,0,0,0.4,0.6
21,0,0,0,1,0,0,0,0,0.6,0.4
22,0,0,0,0,0,0,0,0,0.8,0.2
23,0,0,0,-1,0,0,0,0,0.6,0.4
24,0,0,0,0,0,0,0,0,0.4,0.6
25,-1,-1,0,0,0,0,0,0,0.4,0.6
26,0,-1,0,0,0,0,0,0,0.2,0.8
27,0,1,0,0,0,0,0,0,0.2,0.8
28,0,0,0,0,0,0,0,0,0.4,0.6
29,0,0,0,0,0,0,1,1,0.6,0.4
30,0,0,0,-1,0,0,0,0,0.6,0.4
31,0,0,0,0,0,0,0,0,0.6,0.4
32,0,0,0,-1,0,0,0,0,0.4,0.6
33,0,0,0,0,0,0,1,1,0.4,0.6
34,0,0,0,0,0,0,1,1,0.4,0.6
35,0,0,0,0,0,0,0,0,0.4,0.6
36,0,0,0,1,0,0,0,0,0.6,0.4
37,0,0,0,0,0,0,0,0,0.6,0.4
38,0,0,0,0,0,0,0,0,0.4,0.6
39,0,0,0,0,0,0,0,0,0.2,0.8
40,0,1,0,0,0,0,-1,0,0.4,0.6
41,0,0,0,1,0,0,-1,0,0.4,0.6
42,0,1,0,0,0,0,0,0,0.6,0.4
43,0,0,0,0,0,0,0,0,0.6,0.4
44,0,0,0,0,0,0,-1,0,0.8,0.2
45,0,0,0,0,0,0,0,0,0.6,0.4
46,0,0,1,1,0,0,0,0,0.6,0.4
47,-1,-1,0,0,0,0,0,0,0.4,0.6
48,0,0,0,1,0,0,0,0,0.6,0.4
49,0,1,0,0,0,0,-1,0,0.6,0.4
50,0,0,0,1,1,0,0,0,0.8,0.2
51,0,0,0,0,0,0,0,0,0.8,0.2
52,0,0,0,0,0,0,0,0,0.8,0.2
53,0,0,0,0,0,0,0,0,0.8,0.2
54,0,0,0,0,0,0,1,0,0.6,0.4
55,0,0,0,0,0,0,1,1,0.6,0.4
56,0,0,0,-1,0,0,1,0,0.4,0.6
57,0,0,0,0,0,0,-1,0,0.6,0.4
58,0,-1,0,0,0,0,-1,-1,0.4,0.6
59,0,-1,0,0,0,0,-1,-1,0.4,0.6
60,0,1,0,0,0,0,0,0,0.4,0.6
61,0,0,0,0,0,0,0,0,0.6,0.4
62,0,0,0,1,0,0,1,1,0.6,0.4
63,-1,-1,0,0,0,0,0,0,0.6,0.4
64,-1,-1,0,0,0,0,0,0,0.6,0.4
65,0,0,0,0,0,0,-1,-1,0.4,0.6
66,0,0,0,0,0,0,0,0,0.2,0.8
67,1,1,0,0,0,0,0,0,0.2,0.8
68,0,0,0,0,0,0,0,0,0.4,0.6
69,0,-1,0,0,0,0,0,0,0.4,0.6
